@realDonaldTrump,6/3/2016,"""@RealJamesWoods:  Without absolutely OWNING the liberal media, HillaryClinton wouldn't stand a chance. #VoterFraud and #MSM her only hope."""
@realDonaldTrump,4/23/2016,"The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?"
@realDonaldTrump,8/19/2017,"I was viciously attacked by Mr. Khan at the Democratic Convention. Am I not allowed to respond? Hillary voted for the Iraq war, not me!"
@realDonaldTrump,9/5/2017,"Captain Khan, killed 12 years ago, was a hero, but this is about RADICAL ISLAMIC TERROR and the weakness of our ""leaders"" to eradicate it!"
@realDonaldTrump,11/10/2016,Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP  32.2 MILLION.  CLINTON 27.8 MILLION.  Thank you!
@realDonaldTrump,9/8/2017,Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.
@realDonaldTrump,10/12/2016,Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews
@realDonaldTrump,5/2/2016,"NATO commander agrees members should pay up via @dcexaminer:
https://t.co/VZLDFy707K"
@realDonaldTrump,5/14/2017,"Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!"
@realDonaldTrump,1/15/2016,"The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!"
@realDonaldTrump,1/27/2017,"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP"
@realDonaldTrump,2/13/2017,"#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below. https://t.co/y9WJoUaaql"
@realDonaldTrump,7/16/2016,Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?
@realDonaldTrump,2/19/2017,"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!"
@realDonaldTrump,11/13/2017,"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings"
@realDonaldTrump,2/25/2016,#CrookedHillary https://t.co/xyoPFJmByp
@realDonaldTrump,11/14/2017,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!"
@realDonaldTrump,8/15/2017,"Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities."
@realDonaldTrump,3/20/2016,Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!
@realDonaldTrump,3/26/2016,"While I am in OH &amp; PA - you can also join @Mike_Pence in Nevada on Mon!

Carson City: https://t.co/28G3RVbFsn

Reno: https://t.co/4nLjRGyFYw"
